Changed directory to /rds/user/tdb47/hpc-work/planning/thinker_private_planning/probing.

JobID: 58393844
======
Time: Wed Aug  7 22:57:37 BST 2024
Running on master node: gpu-q-17
Current directory: /rds/user/tdb47/hpc-work/planning/thinker_private_planning/probing

Nodes allocated:
================
gpu-q-17

numtasks=1, numnodes=1, mpi_tasks_per_node=1 (OMP_NUM_THREADS=1)

Executing command:
==================
python create_probe_dataset.py --env_name probing- --model_name 10m --num_episodes 5000 --pct_train 0.6 


Initializing env 0 with device cpu
Data collected from episode 470 with episode length of 118
Data collected from episode 471 with episode length of 117
Data collected from episode 472 with episode length of 115
Data collected from episode 473 with episode length of 115
Data collected from episode 474 with episode length of 48
Data collected from episode 475 with episode length of 115
Data collected from episode 476 with episode length of 118
Data collected from episode 477 with episode length of 35
Data collected from episode 478 with episode length of 119
Data collected from episode 479 with episode length of 116
Data collected from episode 480 with episode length of 115
Data collected from episode 481 with episode length of 116
Data collected from episode 482 with episode length of 52
Data collected from episode 483 with episode length of 30
Data collected from episode 484 with episode length of 30
Data collected from episode 485 with episode length of 27
Data collected from episode 486 with episode length of 118
Data collected from episode 487 with episode length of 118
Data collected from episode 488 with episode length of 118
Data collected from episode 489 with episode length of 120
Data collected from episode 490 with episode length of 22
Data collected from episode 491 with episode length of 120
Data collected from episode 492 with episode length of 115
Data collected from episode 493 with episode length of 115
Data collected from episode 494 with episode length of 21
Data collected from episode 495 with episode length of 118
Data collected from episode 496 with episode length of 118
Data collected from episode 497 with episode length of 117
Data collected from episode 498 with episode length of 22
Data collected from episode 499 with episode length of 120
Data collected from episode 500 with episode length of 120
Data collected from episode 501 with episode length of 118
Data collected from episode 502 with episode length of 116
Data collected from episode 503 with episode length of 102
Data collected from episode 504 with episode length of 32
Data collected from episode 505 with episode length of 120
Data collected from episode 506 with episode length of 116
Data collected from episode 507 with episode length of 115
Data collected from episode 508 with episode length of 119
Data collected from episode 509 with episode length of 116
Data collected from episode 510 with episode length of 117
Data collected from episode 511 with episode length of 119
Data collected from episode 512 with episode length of 116
Data collected from episode 513 with episode length of 53
Data collected from episode 514 with episode length of 118
Data collected from episode 515 with episode length of 117
Data collected from episode 516 with episode length of 115
Data collected from episode 517 with episode length of 115
Data collected from episode 518 with episode length of 120
Data collected from episode 519 with episode length of 117
Data collected from episode 520 with episode length of 120
Data collected from episode 521 with episode length of 20
Data collected from episode 522 with episode length of 115
Data collected from episode 523 with episode length of 118
Data collected from episode 524 with episode length of 26
Data collected from episode 525 with episode length of 120
Data collected from episode 526 with episode length of 13
Data collected from episode 527 with episode length of 115
Data collected from episode 528 with episode length of 120
Data collected from episode 529 with episode length of 116
Data collected from episode 530 with episode length of 42
Data collected from episode 531 with episode length of 119
Data collected from episode 532 with episode length of 115
Data collected from episode 533 with episode length of 120
Data collected from episode 534 with episode length of 118
Data collected from episode 535 with episode length of 117
Data collected from episode 536 with episode length of 119
Data collected from episode 537 with episode length of 116
Data collected from episode 538 with episode length of 118
Data collected from episode 539 with episode length of 115
Data collected from episode 540 with episode length of 118
Data collected from episode 541 with episode length of 115
Data collected from episode 542 with episode length of 115
Data collected from episode 543 with episode length of 32
Data collected from episode 544 with episode length of 39
Data collected from episode 545 with episode length of 115
Data collected from episode 546 with episode length of 116
Data collected from episode 547 with episode length of 120
Data collected from episode 548 with episode length of 116
Data collected from episode 549 with episode length of 117
Data collected from episode 550 with episode length of 56
Data collected from episode 551 with episode length of 119
Data collected from episode 552 with episode length of 120
Data collected from episode 553 with episode length of 44
Data collected from episode 554 with episode length of 118
Data collected from episode 555 with episode length of 116
Data collected from episode 556 with episode length of 116
Data collected from episode 557 with episode length of 117
Data collected from episode 558 with episode length of 118
Data collected from episode 559 with episode length of 120
Data collected from episode 560 with episode length of 115
Data collected from episode 561 with episode length of 120
Data collected from episode 562 with episode length of 120
Data collected from episode 563 with episode length of 119
Data collected from episode 564 with episode length of 115
Data collected from episode 565 with episode length of 119
Data collected from episode 566 with episode length of 116
Data collected from episode 567 with episode length of 120
Data collected from episode 568 with episode length of 21
Data collected from episode 569 with episode length of 118
Data collected from episode 570 with episode length of 117
Data collected from episode 571 with episode length of 57
Data collected from episode 572 with episode length of 50
Data collected from episode 573 with episode length of 119
Data collected from episode 574 with episode length of 115
Data collected from episode 575 with episode length of 120
Data collected from episode 576 with episode length of 24
Data collected from episode 577 with episode length of 120
Data collected from episode 578 with episode length of 26
Data collected from episode 579 with episode length of 36
Data collected from episode 580 with episode length of 72
Data collected from episode 581 with episode length of 118
Data collected from episode 582 with episode length of 117
Data collected from episode 583 with episode length of 115
Data collected from episode 584 with episode length of 38
Data collected from episode 585 with episode length of 118
Data collected from episode 586 with episode length of 118
Data collected from episode 587 with episode length of 120
Data collected from episode 588 with episode length of 117
Data collected from episode 589 with episode length of 115
Data collected from episode 590 with episode length of 23
Data collected from episode 591 with episode length of 30
Data collected from episode 592 with episode length of 116
Data collected from episode 593 with episode length of 115
Data collected from episode 594 with episode length of 116
Data collected from episode 595 with episode length of 116
Data collected from episode 596 with episode length of 116
Data collected from episode 597 with episode length of 118
Data collected from episode 598 with episode length of 116
Data collected from episode 599 with episode length of 117
Data collected from episode 600 with episode length of 118
Data collected from episode 601 with episode length of 119
Data collected from episode 602 with episode length of 120
Data collected from episode 603 with episode length of 116
Data collected from episode 604 with episode length of 116
Data collected from episode 605 with episode length of 117
Data collected from episode 606 with episode length of 45
Data collected from episode 607 with episode length of 36
Data collected from episode 608 with episode length of 31
Data collected from episode 609 with episode length of 116
Data collected from episode 610 with episode length of 116
Data collected from episode 611 with episode length of 36
Data collected from episode 612 with episode length of 26
Data collected from episode 613 with episode length of 116
Data collected from episode 614 with episode length of 116
Data collected from episode 615 with episode length of 43
Data collected from episode 616 with episode length of 71
Data collected from episode 617 with episode length of 55
Data collected from episode 618 with episode length of 120
Data collected from episode 619 with episode length of 41
Data collected from episode 620 with episode length of 14
Data collected from episode 621 with episode length of 117
Data collected from episode 622 with episode length of 15
Data collected from episode 623 with episode length of 118
Data collected from episode 624 with episode length of 116
Data collected from episode 625 with episode length of 9
Data collected from episode 626 with episode length of 120
Data collected from episode 627 with episode length of 118
Data collected from episode 628 with episode length of 120
Data collected from episode 629 with episode length of 43
Data collected from episode 630 with episode length of 7
Data collected from episode 631 with episode length of 120
Data collected from episode 632 with episode length of 115
Data collected from episode 633 with episode length of 25
Data collected from episode 634 with episode length of 117
Data collected from episode 635 with episode length of 118
Data collected from episode 636 with episode length of 116
Data collected from episode 637 with episode length of 120
